account_id,posted_date,amount,currency,raw_descriptor,type,source_file,true_merchant,true_category
1,2025-08-01,-147.66,USD,AMAZON.COM*G239CPJJB AMZN.COM/BILL,purchase,synthetic_2025_08.csv,Amazon,shopping
1,2025-08-01,-4.89,USD,SQ *BLUE BOTTLE COFFEE PORTLAND,purchase,synthetic_2025_08.csv,Blue Bottle Coffee,coffee
1,2025-08-01,-24.99,USD,PLANET FIT #16684 DENVER CO,purchase,synthetic_2025_08.csv,Planet Fitness,health
1,2025-08-02,-19.36,USD,AMC ONLINE VERYJ0M6N,purchase,synthetic_2025_08.csv,AMC Theatres,entertainment
1,2025-08-02,-23.47,USD,CHIPOTLE 32586 SEATTLE WA,purchase,synthetic_2025_08.csv,Chipotle,dining
1,2025-08-03,-123.44,USD,AMAZON.COM*FZ1WKL4QS AMZN.COM/BILL,purchase,synthetic_2025_08.csv,Amazon,shopping
1,2025-08-03,-10.93,USD,CVS/PHARMACY #18026 CHICAGO,purchase,synthetic_2025_08.csv,CVS Pharmacy,health
1,2025-08-03,-23.84,USD,UBER *TRIP 0803,purchase,synthetic_2025_08.csv,Uber,transport
1,2025-08-04,-47.9,USD,TRADER JOE'S #35377 BOSTON MA,purchase,synthetic_2025_08.csv,Trader Joe's,groceries
1,2025-08-05,-9.67,USD,SQ *BLUE BOTTLE BOSTON MA,purchase,synthetic_2025_08.csv,Blue Bottle Coffee,coffee
1,2025-08-05,-11.09,USD,UBER *TRIP 0805,purchase,synthetic_2025_08.csv,Uber,transport
1,2025-08-06,2350.0,USD,ACME CORP DIRECT DEP PPD ID:A04DFJ9LJ,income,synthetic_2025_08.csv,Acme Corp Payroll,income
1,2025-08-06,-55.93,USD,SHELL OIL 00073415 BOSTON MA,purchase,synthetic_2025_08.csv,Shell,transport
1,2025-08-07,-64.5,USD,TARGET.COM * RJJ2FGSZ8,purchase,synthetic_2025_08.csv,Target,shopping
1,2025-08-07,-129.5,USD,WHOLEFDS CHICAGO #67108,purchase,synthetic_2025_08.csv,Whole Foods,groceries
1,2025-08-08,-9.71,USD,SQ *BLUE BOTTLE AUSTIN TX,purchase,synthetic_2025_08.csv,Blue Bottle Coffee,coffee
1,2025-08-08,-8.32,USD,SQ *BLUE BOTTLE DENVER CO,purchase,synthetic_2025_08.csv,Blue Bottle Coffee,coffee
1,2025-08-08,-16.57,USD,TST* CHIPOTLE - SEATTLE,purchase,synthetic_2025_08.csv,Chipotle,dining
1,2025-08-09,-31.21,USD,AMAZON.COM*4K7UKAEKS AMZN.COM/BILL,purchase,synthetic_2025_08.csv,Amazon,shopping
1,2025-08-09,-9.36,USD,SQ *BLUE BOTTLE SEATTLE WA,purchase,synthetic_2025_08.csv,Blue Bottle Coffee,coffee
1,2025-08-09,-37.59,USD,UBER *TRIP 0809,purchase,synthetic_2025_08.csv,Uber,transport
1,2025-08-10,-31.21,USD,AMZN Mktp US*WABJDFKRQ,purchase,synthetic_2025_08.csv,Amazon,shopping
1,2025-08-10,-11.99,USD,PAYPAL *SPOTIFY USA,purchase,synthetic_2025_08.csv,Spotify,subscriptions
1,2025-08-12,-8.45,USD,SQ *BLUE BOTTLE COFFEE BOSTON,purchase,synthetic_2025_08.csv,Blue Bottle Coffee,coffee
1,2025-08-13,-65.28,USD,CVS 21248 SEATTLE WA,purchase,synthetic_2025_08.csv,CVS Pharmacy,health
1,2025-08-13,-41.84,USD,TARGET.COM * TE95T5HXW,purchase,synthetic_2025_08.csv,Target,shopping
1,2025-08-13,-11.79,USD,UBER *TRIP 0813,purchase,synthetic_2025_08.csv,Uber,transport
